,Date,Rocket,Launch Site,Launch Latitude,Launch Longitude,Flight Number,Flight,Orbit,Payload (Kg),Land Site,Failed Launch,Successful Launch,gridfins_False,gridfins_True,legs_False,legs_True,reused_False,reused_True,landing_attempt_False,landing_attempt_True,Failed Landing,Successful Landing,Landing ASDS,Landing Ocean,Landing RTLS,Year
100,2021-01-08,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,113,4,GTO,3500.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
101,2021-01-20,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,114,8,VLEO,15600.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
102,2021-01-24,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,115,5,SSO,7341.2,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
103,2021-02-04,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,116,5,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
104,2021-02-16,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,117,6,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,2021
105,2021-03-04,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,118,8,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
106,2021-03-11,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,119,6,VLEO,15600.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
107,2021-03-14,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,120,9,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
108,2021-03-24,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,121,6,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
109,2021-04-07,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,122,7,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
110,2021-04-23,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,123,2,ISS,7341.2,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
111,2021-04-29,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,124,7,VLEO,15600.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
112,2021-05-04,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,125,9,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
113,2021-05-09,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,126,10,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
114,2021-05-26,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,128,2,VLEO,15600.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
115,2021-06-03,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,129,1,ISS,3328.0,Port of Los Angeles,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2021
116,2021-06-06,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,130,3,GTO,7000.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
117,2021-06-17,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,131,2,MEO,3681.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
118,2021-06-30,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,132,8,SSO,7341.2,Cape Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2021
119,2021-08-29,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,133,4,ISS,7341.2,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
120,2021-09-14,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,134,10,PO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
121,2021-09-16,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,135,3,LEO,7341.2,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
122,2021-11-11,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,136,2,ISS,12519.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
123,2021-11-13,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,137,9,LEO,13260.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
124,2021-11-24,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,138,2,TLI,670.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
125,2021-12-01,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,139,9,PO,13260.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2021
